SAMPLE SIZE = 79

PM I16555-0823 & 0.12 & 27.49 & [0.27, 0.54] & [0.21, 0.57] & [2.42, 1.83] & [2.65, 1.78] \\
PM I16570-0420 & 0.20 & 28.31 & [0.66, 1.27] & [0.50, 1.34] & [2.47, 1.90] & [2.71, 1.85] \\
PM I17121+4539 & 0.20 & 27.61 & [0.67, 1.28] & [0.51, 1.35] & [1.77, 1.20] & [2.01, 1.15] \\
PM I17286-4653 & 0.29 & 27.94 & [1.08, 2.05] & [0.82, 2.17] & [1.67, 1.12] & [1.91, 1.07] \\
PM I17364+6820 & 0.23 & 27.44 & [0.80, 1.53] & [0.61, 1.62] & [1.43, 0.87] & [1.67, 0.83] \\
PM I17439+4322 & 0.29 & 27.64 & [1.08, 2.05] & [0.82, 2.17] & [1.37, 0.82] & [1.62, 0.77] \\
PM I17464+2743W & 0.20 & 27.94 & [0.66, 1.27] & [0.50, 1.34] & [2.09, 1.53] & [2.33, 1.48] \\
PM I18051-0301 & 0.47 & 27.75 & [2.00, 3.75] & [1.51, 3.95] & [0.95, 0.41] & [1.20, 0.36] \\
PM I18075-1557 & 0.16 & 28.11 & [0.49, 0.94] & [0.37, 1.00] & [2.53, 1.96] & [2.77, 1.91] \\
PM I18189+6611 & 0.16 & 27.42 & [0.50, 0.95] & [0.38, 1.01] & [1.83, 1.26] & [2.07, 1.21] \\
PM I18411+2447S & 0.16 & 28.11 & [0.49, 0.95] & [0.37, 1.00] & [2.53, 1.96] & [2.77, 1.91] \\
PM I18427+5937N & 0.23 & 27.44 & [0.80, 1.53] & [0.61, 1.62] & [1.43, 0.87] & [1.67, 0.82] \\
PM I18427+5937S & 0.20 & 27.32 & [0.66, 1.27] & [0.50, 1.34] & [1.48, 0.92] & [1.72, 0.87] \\
PM I18498-2350 & 0.20 & 27.94 & [0.66, 1.27] & [0.50, 1.34] & [2.10, 1.53] & [2.34, 1.48] \\
PM I19077+3232 & 0.23 & 27.73 & [0.80, 1.53] & [0.61, 1.62] & [1.73, 1.17] & [1.97, 1.12] \\
PM I19169+0510 & 0.29 & 27.33 & [1.09, 2.06] & [0.82, 2.17] & [1.06, 0.51] & [1.30, 0.46] \\
PM I19539+4424E & 0.14 & 27.63 & [0.38, 0.74] & [0.29, 0.79] & [2.27, 1.69] & [2.50, 1.64] \\
PM I19539+4424W & 0.14 & 27.63 & [0.38, 0.74] & [0.29, 0.79] & [2.27, 1.69] & [2.50, 1.64] \\
PM I20298+0941 & 0.16 & 28.11 & [0.49, 0.95] & [0.37, 1.01] & [2.53, 1.96] & [2.77, 1.91] \\
PM I20305+6526 & 0.29 & 27.94 & [1.08, 2.05] & [0.82, 2.17] & [1.67, 1.11] & [1.91, 1.07] \\
PM I20451-3120 & 0.53 & 29.57 & [2.46, 4.58] & [1.86, 4.82] & [2.59, 2.05] & [2.83, 2.00] \\
PM I20533+6209 & 0.50 & 28.11 & [2.21, 4.12] & [1.67, 4.34] & [1.23, 0.69] & [1.47, 0.64] \\
PM I21313-0947 & 0.16 & 27.74 & [0.49, 0.95] & [0.37, 1.01] & [2.16, 1.59] & [2.40, 1.54] \\
PM I22012+2818 & 0.18 & 28.21 & [0.57, 1.09] & [0.43, 1.15] & [2.51, 1.95] & [2.75, 1.89] \\
PM I22231-1736 & 0.16 & 27.74 & [0.50, 0.95] & [0.38, 1.01] & [2.15, 1.59] & [2.39, 1.53] \\
PM I22387-2037 & 0.41 & 29.34 & [1.68, 3.16] & [1.27, 3.34] & [2.70, 2.15] & [2.94, 2.10] \\
PM I22468+4420 & 0.20 & 29.15 & [0.66, 1.27] & [0.50, 1.34] & [3.31, 2.74] & [3.55, 2.69] \\
PM I22565+1633 & 0.41 & 27.63 & [1.68, 3.17] & [1.27, 3.34] & [0.98, 0.43] & [1.23, 0.39] \\
PM I23318+1956E & 0.16 & 28.95 & [0.50, 0.95] & [0.38, 1.01] & [3.37, 2.80] & [3.61, 2.75] \\
PM I23318+1956Wn & 0.16 & 28.95 & [0.50, 0.95] & [0.38, 1.01] & [3.37, 2.80] & [3.61, 2.75] \\
PM I23419+4410 & 0.15 & 27.07 & [0.43, 0.83] & [0.33, 0.89] & [1.60, 1.03] & [1.84, 0.98] \\
PM I23431+3632 & 0.18 & 27.84 & [0.56, 1.08] & [0.43, 1.15] & [2.14, 1.58] & [2.38, 1.53] \\
PM I23492+0224 & 0.46 & 27.73 & [1.98, 3.72] & [1.50, 3.92] & [0.94, 0.39] & [1.18, 0.35] \\
