COMBINED TABLES 1 AND 2 FROM STELZER (2013) APPENDIX.
ALL FLUX VALUES ARE IN ERG/CM2/S!

NAME	 Gl/GJ	 d [pc]	 d_unc [pc]	 SpT	 T_eff [K]	 log f_bol,E 	 v sin(i) [km/s]	 log f_NUV	 log f_NUV_bound	 log f_FUV	 log_f_FUV_bound	 log f_X	 log f_X_bound
PM I06000+0242	 GJ 3379	 5.24	 0.05	 M4.0	 3165.0	 −8.49	 7.40 	 N/A	 N/A	 N/A	 N/A	 −11.70	 [−11.66, −11.75]
PM I06011+5935	 GJ 3378	 7.94	 0.21	 M3.5	 3241.0	 −8.71	 < 2.50 	 N/A	 N/A	 N/A	 N/A	 −12.94	 N/A
PM I06024+4951	 GJ 3380	 9.29	 2.32	 M5.0	 3013.0	 −9.22	 ... 	 N/A	 N/A	 N/A	 N/A	 −12.94	 N/A
PM I06103+8206	 Gl 226	 9.37	 0.12	 M2.0	 3500.0	 −8.21	 < 2.50 	 −13.22	 [−13.17, −13.27]	 −13.61	 [−13.18, −14.04]	 −13.02	 [−12.87, −13.25]
PM I06105-2151	 Gl 229	 5.75	 0.03	 M0.5	 3725.0	 −7.38	 1.00 	 N/A	 N/A	 N/A	 N/A	 −12.58	 [−12.49, −12.69]
PM I06246+2325	 Gl 232	 8.38	 2.1	 M4.5	 3089.0	 −9.02	 < 3.09 	 N/A	 N/A	 N/A	 N/A	 −12.97	 N/A
PM I06307-7643	 N/A	 8.76	 0.15	 M6.0	 2860.0	 −9.39	 ... 	 N/A	 N/A	 N/A	 N/A	 −12.66	 [−12.57, −12.79]
PM I06337-7537N	 N/A	 8.68	 0.88	 M3.0	 3318.0	 −8.62	 ... 	 N/A	 N/A	 N/A	 N/A	 −12.53	 [−12.46, −12.63]
PM I06337-7537S	 N/A	 9.02	 0.18	 M2.0	 3500.0	 −8.17	 ... 	 N/A	 N/A	 N/A	 N/A	 −12.53	 [−12.46, −12.63]
PM I06523-0511	 Gl 250 B	 8.74	 2.19	 M2.0	 3500.0	 −8.15	 < 2.50 	 N/A	 N/A	 N/A	 N/A	 −13.07	 N/A
PM I06548+3316	 Gl 251	 5.59	 0.05	 M3.0	 3318.0	 −8.24	 < 2.50 	 N/A	 N/A	 N/A	 N/A	 −13.53	 [−13.44, −13.66]
PM I06577-4417	 Gl 257 A	 8.01	 0.14	 M3.0	 3318.0	 −8.55	 < 3.00 	 N/A	 N/A	 N/A	 N/A	 −13.27	 N/A
PM I07039+5242	 GJ 3421	 9.3	 0.16	 M5.0	 3013.0	 −9.22	 ... 	 N/A	 N/A	 N/A	 N/A	 −12.89	 N/A
PM I07100+3831	 Gl 268	 6.29	 0.13	 M4.5	 3089.0	 −8.77	 6.30 	 −12.80	 [−12.77, −12.83]	 −12.54	 [−12.43, −12.64]	 −11.90	 [−11.83, −11.97]
PM I07274+0513	 Gl 273	 3.8	 0.02	 M3.5	 3241.0	 −8.07	 < 2.50 	 −13.29	 [−13.22, −13.36]	 −13.28	 [−13.02, −13.54]	 −13.29	 [−13.20, −13.40]
PM I07364+0704	 GJ 3454	 8.58	 0.07	 M5.0	 3013.0	 −9.15	 ... 	 −13.18	 [−13.12, −13.24]	 −12.72	 [−12.62,−12.82]	 −12.96	 N/A
PM I07446+0333	 Gl 285	 5.96	 0.08	 M4.5	 3089.0	 −8.72	 4.50 	 N/A	 N/A	 N/A	 N/A	 −11.14	 [−11.12, −11.17]
PM I07519-0000	 GJ 1103 AB	 8.77	 2.19	 M4.5	 3089.0	 −9.06	 ... 	 N/A	 N/A	 N/A	 N/A	 −12.97	 N/A
