COMBINED TABLES 1 AND 2 FROM STELZER (2013) APPENDIX.
ALL FLUX VALUES ARE IN ERG/CM2/S!

NAME	 Gl/GJ	 d [pc]	 d_unc [pc]	 SpT	 T_eff [K]	 log f_bol,E 	 v sin(i) [km/s]	 log f_NUV	 log f_NUV_bound	 log f_FUV	 log_f_FUV_bound	 log f_X	 log f_X_bound
PM I21335-4900	 Gl 832	 4.95	 0.02	 M1.5	 3575.0	 −7.49	 ... 	 −12.58	 [−12.55, −12.61]	 −12.70	 [−12.60, −12.79]	 −12.98	 N/A
PM I22012+2818	 GJ 4247	 8.9	 0.24	 M4.0	 3165.0	 −8.95	 35.0 	 −12.18	 [−12.16, −12.20]	 −11.87	 [−11.82, −11.92]	 −11.71	 [−11.68, −11.74]
PM I22024-3704	 GJ 4248	 7.45	 0.07	 M3.5	 3241.0	 −8.65	 ... 	 N/A	 N/A	 N/A	 N/A	 −12.91	 N/A
PM I22096-0438	 Gl 849	 9.1	 0.18	 M3.5	 3241.0	 −8.83	 < 2.50 	 N/A	 N/A	 N/A	 N/A	 −12.83	 N/A
PM I22231-1736	 GJ 4274	 7.44	 1.86	 M4.5	 3089.0	 −8.91	 ... 	 −12.95	 [−12.91, −12.99]	 −12.62	 [−12.51, −12.74]	 −12.11	 [−12.04, −12.19]
PM I22387-2037	 Gl 867 A	 8.7	 0.1	 M1.5	 3575.0	 −7.98	 ... 	 −11.72	 [−11.70, −11.73]	 −11.67	 [−11.63, −11.71]	 −10.73	 [−10.71, −10.75]
PM I22468+4420	 Gl 873	 5.12	 0.05	 M3.5	 3241.0	 −8.33	 3.50 	 N/A	 N/A	 N/A	 N/A	 −10.32	 [−10.32, −10.33]
PM I22532-1415	 Gl 876	 4.69	 0.05	 M4.0	 3165.0	 −8.39	 < 2.50 	 −13.27	 [−13.23, −13.32]	 −13.58	 [−13.29, −13.88]	 −13.02	 [−12.94, −13.12]
PM I22557-7527	 Gl 877	 8.61	 0.09	 M2.5	 3425.0	 −8.35	  ... 	 −13.21	 [−13.16, −13.26]	 −13.94	 [−13.08, −14.80]	 −13.19	 N/A
PM I22565+1633	 Gl 880	 6.84	 0.05	 M1.5	 3575.0	 −7.77	 < 2.50 	 −12.29	 [−12.27, −12.32]	 −12.82	 [−12.70, −12.94]	 −12.75	 [−12.64, −12.91]
PM I23318+1956E	 Gl 896 B	 6.18	 0.07	 M4.5	 3089.0	 −8.75	  24.2 	 −11.79	 [−11.77, −11.81]	 −11.55	 [−11.51, −11.59]	 −10.91	 [−10.91, −10.91]
PM I23318+1956Wn	 Gl 896 A	 6.18	 0.07	 M4.5	 3089.0	 −8.75	  24.2 	 −11.79	 [−11.77, −11.81]	 −11.55	 [−11.51, −11.59]	 −10.91	 [−10.91, −10.91]
PM I23351-0223	 GJ 1286	 7.23	 1.81	 M5.5	 2936.0	 −9.12	 < 5.69 	 −13.42	 [−13.39, −13.46]	 −13.07	 [−12.99, −13.14]	 −12.93	 N/A
PM I23419+4410	 Gl 905	 3.17	 0.01	 M5.0	 3013.0	 −8.29	  ... 	 N/A	 N/A	 N/A	 N/A	 −12.06	 [−12.00, −12.12]
PM I23431+3632	 GJ 1289	 8.1	 2.02	 M4.0	 3165.0	 −8.87	 < 2.59 	 −13.45	 [−13.37, −13.54]	 −14.03	 [−12.62, −15.44]	 −12.29	 [−12.22, −12.37]
PM I23492+0224	 Gl 908	 5.98	 0.04	 M1.0	 3650.0	 −7.51	 < 2.50 	 −12.73	 [−12.69, −12.77]	 −13.08	 [−12.92, −13.24]	 −12.60	 [−12.50, −12.73]
PM I23538-7537	 N/A	 9.99	 0.1	 M2.0	 3500.0	 −8.26	  ... 	 −12.84	 [−12.80, −12.88]	 −12.68	 [−12.56, −12.79]	 −13.19	 N/A
