PM I09397-4104 	Gl 358 	9.47	 ±	 0.15 	 M2.0 	 3500 	−8.22 	< 3.00 
PM I09444-4546 	Gl 367 	9.87	 ±	 0.32 	 M1.0 	 3650 	−7.94 	< 3.00 
PM I09539+2056 	GJ 3571 	9.23	 ±	 0.20 	 M4.5 	 3089 	−9.10 	16.5 
PM I10122-0344 	Gl 382 	7.87	 ±	 0.12 	 M1.5 	 3575 	−7.89 	1.80 
PM I10196+1952 	Gl 388 	4.89	 ±	 0.07 	 M3.0 	 3318 	−8.12 	3.00 
PM I10289+0050 	Gl 393 	7.07	 ±	 0.11 	 M2.0 	 3500 	−7.96 	1.50 
PM I10482-1120 	GJ 3622 	4.54	 ±	 1.14 	 M6.5 	 2784 	−8.91 	... 
PM I10497+3532 	GJ 1138 	9.39	 ±	 0.69 	 M4.5 	 3089 	−9.12 	< 4.00 
PM I10508+0648 	Gl 402 	6.76	 ±	 0.16 	 M4.0 	 3165 	−8.71 	< 2.50 
PM I11000+2249 	Gl 408 	6.66	 ±	 0.08 	 M2.5 	 3425 	−8.13 	< 2.50 
PM I11033+3558 	Gl 411 	2.55	 ±	 0.00 	 M2.0 	 3500 	−7.08 	< 2.50 
PM I11054+4331 	Gl 412 A 	4.85	 ±	 0.02 	 M0.5 	 3725 	−7.23 	< 2.50 
PM I11200+6550 	Gl 424 	8.92	 ±	 0.08 	 M0.0 	 3800 	−7.67 	< 2.50 
PM I11354-3232 	Gl 433 	8.88	 ±	 0.11 	 M1.5 	 3575 	−8.00 	< 2.50 
PM I11476+7841 	Gl 445 	5.35	 ±	 0.05 	 M3.5 	 3241 	−8.37 	< 2.50 
PM I11477+0048 	Gl 447 	3.36	 ±	 0.03 	 M4.0 	 3165 	−8.10 	< 2.50 
PM I11509+4822 	GJ 1151 	8.70	 ±	 0.40 	 M4.5 	 3089 	−9.05 	< 4.09 
PM I11511+3516 	Gl 450 	8.58	 ±	 0.09 	 M1.0 	 3650 	−7.82 	< 2.50 
PM I12142+0037 	GJ 1154 	8.38	 ±	 2.10 	 M5.0 	 3013 	−9.13 	5.19 
PM I12189+1107 	GJ 1156 	6.54	 ±	 1.64 	 M5.0 	 3013 	−8.92 	9.19 
PM I12248-1814 	Gl 465 	8.85	 ±	 0.20 	 M2.0 	 3500 	−8.16 	< 2.50 
PM I12332+0901 	Gl 473 AB 	4.39	 ±	 1.10 	 M5.0 	 3013 	−8.57 	... 
PM I12378-5200 	Gl 479 	9.69	 ±	 0.22 	 M2.0 	 3500 	−8.24 	< 3.00 
PM I12388-3822 	GJ 3737 	6.38	 ±	 0.08 	 M4.5 	 3089 	−8.78 	< 3.00 
PM I12407-4333 	Gl 480.1 	7.78	 ±	 0.24 	 M3.0 	 3318 	−8.53 	... 
PM I12479+0945 	Gl 486 	8.37	 ±	 0.19 	 M3.5 	 3241 	−8.76 	< 2.50 
PM I13005+0541 	Gl 493.1 	8.12	 ±	 2.03 	 M4.5 	 3089 	−8.99 	16.7 
PM I13299+1022 	Gl 514 	7.66	 ±	 0.06 	 M0.5 	 3725 	−7.63 	1.50 
PM I13427+3317 	GJ 3801 	9.28	 ±	 0.28 	 M3.5 	 3241 	−8.85 	< 4.00 
PM I14342-1231 	Gl 555 	6.06	 ±	 0.12 	 M4.0 	 3165 	−8.61 	< 2.50 
PM I14495-2606E 		4.03	 ±	 0.89 	 M1.0 	 3650 	−7.17 	... 
PM I14544+1606 	Gl 569 AB 	9.65	 ±	 0.16 	 M2.0 	 3500 	−8.23 	< 2.50 
PM I14574-2124W 	Gl 570 B 	5.92	±	0.86 	 M1.0 	 3650	−7.50	< 2.50 
PM I15194-0743E 	Gl 581 	6.22	 ±	  0.10 	 M3.0 	 3318 	−8.33 	< 2.50 
PM I15322-4116 	Gl 588 	5.93 	±	 0.05 	 M2.5 	 3425 	−8.03 	< 3.00 
PM I16028+2035 	Gl 609 	9.97	 ±	 2.50 	 M4.0 	 3165 	−9.05 	< 3.00 
PM I16200-3731E 	Gl 618 A 	8.34	 ±	 0.18 	 M2.0 	 3500 	−8.11 	< 3.00 
PM I16241+4821 	Gl 623 	8.06	 ±	 0.08 	 M2.5 	 3425 	−8.30 	< 2.90 
PM I16254+5418 	Gl 625 	6.51	 ±	 0.04 	 M1.5 	 3575 	−7.73 	< 2.50 
PM I16303-1239 	Gl 628 	4.29	 ±	 0.03 	 M3.5 	 3241 	−8.18 	1.50 
PM I16313+4051 	GJ 3959 	6.41	 ±	 1.60  	M5.0  	3013 	−8.90 	... 
PM I16554-0819 	Gl 643 	6.72	 ±	 0.19  	M3.5  	3241 	−8.56 	< 2.70 
PM I16554-0820 	Gl 644 A 	6.20	 ±	 0.22  	M3.0  	3318 	−8.33 	... 
PM I16555-0823 	Gl 644 C 	6.44	 ±	 0.05  	M7.0  	2708 	−9.30 	9.00 
PM I16570-0420 	GJ 1207 	8.67	 ±	 0.11  	M3.5  	3241 	−8.79 	10.7 
PM I17033+5124 	GJ 3988 	9.49	 ±	 2.37  	M4.5  	3089 	−9.12 	... 
PM I17095+4340 	GJ 3991 	7.45	 ±	 0.11  	M3.5  	3241 	−8.65 	< 4.00 
PM I17121+4539 	Gl 661 A 	5.98	 ±	 0.18  	M3.5  	3241 	−8.46 	< 4.00 
PM I17286-4653 	Gl 674 	4.54	 ±	 0.03  	M2.5  	3425 	−7.80 	< 3.00 
