PM I10482-1120 	−14.07 	[−13.84, −14.30]  	< 	 −13.67 		< 	−12.97 	
PM I10497+3532 						< 	−13.01 	
PM I10508+0648 						< 	−12.95 	
PM I11000+2249 						< 	−12.66 	
PM I11033+3558 	−12.16 	[−12.13, −12.18] 		−12.55 	[−12.45, −12.65] 		−11.98 	[−11.97,−11.99] 
PM I11054+4331 	−12.71 	[−12.69, −12.74] 	< 	−13.52 			−12.04 	[−11.98,−12.11] 
PM I11200+6550 	−12.71 	[−12.67, −12.75] 	< 	−13.18 			−13.05 	[−12.90,−13.26] 
PM I11354-3232 						< 	−13.02 	
PM I11476+7841 	−13.75 	[−13.64, −13.86] 	< 	−13.68 			−12.98 	[−12.90,−13.08] 
PM I11477+0048 	−13.82 	[−13.70, −13.94] 		−13.74 	[−13.57, −13.92] 		−12.41 	[−12.32,−12.51] 
PM I11509+4822 	−13.81 	[−13.68, −13.93] 	< 	−13.67 		< 	−12.96 	
PM I11511+3516 							−12.47 	[−12.38,−12.58] 
PM I12142+0037 							−12.31 	[−12.23,−12.42] 
PM I12189+1107 	−13.25 	[−13.18, −13.32] 		−12.74 	[−12.61, −12.87] 		−12.19 	[−12.13,−12.27] 
PM I12248-1814 						< 	−12.93 	
PM I12332+0901 	−12.61 	[−12.58, −12.65] 		−12.32 	[−12.25, −12.39] 		−11.84 	[−11.82,−11.86] 
PM I12378-5200 							−12.19 	[−12.12,−12.27] 
PM I12388-3822 						< 	−12.89 	
PM I12407-4333 						< 	−12.91 	
PM I12479+0945 						< 	−13.27 	
PM I13005+0541 	−12.64 	[−12.61, −12.66] 		−12.09 	[−12.01, −12.17] 		−12.16 	[−12.09,−12.25] 
PM I13299+1022 	−12.57 	[−12.54, −12.60] 	< 	−13.30 			−12.54 	[−12.44,−12.69] 
PM I13427+3317 						< 	−13.27 	
PM I14342-1231 						< 	−12.87 	
PM I14495-2606E 						< 	−12.93 	
PM I14544+1606 	−12.33 	[−12.30, −12.36] 		−12.28 	[−12.18, −12.37] 		−11.62 	[−11.58, −11.65] 
